arm,nfe,K,gruppe,n_komplexe,ziel,regel,anteil_prozent
SigmaDock,25,40,frag=1,14,RMSD<2 & PB,je Zug,23.39
SigmaDock,25,40,frag=2,49,RMSD<2 & PB,je Zug,31.12
SigmaDock,25,40,frag=3,52,RMSD<2 & PB,je Zug,28.94
SigmaDock,25,40,frag=4,56,RMSD<2 & PB,je Zug,24.96
SigmaDock,25,40,frag=5,61,RMSD<2 & PB,je Zug,26.11
SigmaDock,25,40,frag=6,25,RMSD<2 & PB,je Zug,25.4
SigmaDock,25,40,frag=7,18,RMSD<2 & PB,je Zug,9.72
SigmaDock,25,40,frag=8,15,RMSD<2 & PB,je Zug,12.0
SigmaDock,25,40,frag=9,8,RMSD<2 & PB,je Zug,3.44
SigmaDock,25,40,frag=10,3,RMSD<2 & PB,je Zug,1.67
SigmaDock,25,40,frag=11,2,RMSD<2 & PB,je Zug,8.57
SigmaDock,25,40,frag=12,1,RMSD<2 & PB,je Zug,10.0
SigmaDock,25,40,frag=13,1,RMSD<2 & PB,je Zug,0.0
SigmaDock,25,40,frag=14,2,RMSD<2 & PB,je Zug,0.0
SigmaDock,25,40,alle,307,RMSD<2 & PB,nur gnina,49.51
SigmaDock,25,40,frag=1,14,RMSD<2 & PB,nur gnina,78.57
SigmaDock,25,40,frag=2,49,RMSD<2 & PB,nur gnina,63.27
SigmaDock,25,40,frag=3,52,RMSD<2 & PB,nur gnina,55.77
SigmaDock,25,40,frag=4,56,RMSD<2 & PB,nur gnina,51.79
SigmaDock,25,40,frag=5,61,RMSD<2 & PB,nur gnina,52.46
SigmaDock,25,40,frag=6,25,RMSD<2 & PB,nur gnina,48.0
SigmaDock,25,40,frag=7,18,RMSD<2 & PB,nur gnina,22.22
SigmaDock,25,40,frag=8,15,RMSD<2 & PB,nur gnina,13.33
SigmaDock,25,40,frag=9,8,RMSD<2 & PB,nur gnina,25.0
SigmaDock,25,40,frag=10,3,RMSD<2 & PB,nur gnina,0.0
SigmaDock,25,40,frag=11,2,RMSD<2 & PB,nur gnina,0.0
SigmaDock,25,40,frag=12,1,RMSD<2 & PB,nur gnina,0.0
SigmaDock,25,40,frag=13,1,RMSD<2 & PB,nur gnina,0.0
SigmaDock,25,40,frag=14,2,RMSD<2 & PB,nur gnina,0.0
SigmaDock,25,40,alle,307,RMSD<2 & PB,Mixed Score (Paper),64.5
SigmaDock,25,40,frag=1,14,RMSD<2 & PB,Mixed Score (Paper),78.57
SigmaDock,25,40,frag=2,49,RMSD<2 & PB,Mixed Score (Paper),75.51
SigmaDock,25,40,frag=3,52,RMSD<2 & PB,Mixed Score (Paper),63.46
SigmaDock,25,40,frag=4,56,RMSD<2 & PB,Mixed Score (Paper),66.07
SigmaDock,25,40,frag=5,61,RMSD<2 & PB,Mixed Score (Paper),68.85
SigmaDock,25,40,frag=6,25,RMSD<2 & PB,Mixed Score (Paper),84.0
SigmaDock,25,40,frag=7,18,RMSD<2 & PB,Mixed Score (Paper),44.44
SigmaDock,25,40,frag=8,15,RMSD<2 & PB,Mixed Score (Paper),40.0
SigmaDock,25,40,frag=9,8,RMSD<2 & PB,Mixed Score (Paper),25.0
SigmaDock,25,40,frag=10,3,RMSD<2 & PB,Mixed Score (Paper),33.33
SigmaDock,25,40,frag=11,2,RMSD<2 & PB,Mixed Score (Paper),0.0
SigmaDock,25,40,frag=12,1,RMSD<2 & PB,Mixed Score (Paper),0.0
SigmaDock,25,40,frag=13,1,RMSD<2 & PB,Mixed Score (Paper),0.0
SigmaDock,25,40,frag=14,2,RMSD<2 & PB,Mixed Score (Paper),0.0
SigmaDock,25,40,alle,307,RMSD<2 & PB,PB-Filter -> gnina,67.1
SigmaDock,25,40,frag=1,14,RMSD<2 & PB,PB-Filter -> gnina,78.57
SigmaDock,25,40,frag=2,49,RMSD<2 & PB,PB-Filter -> gnina,77.55
SigmaDock,25,40,frag=3,52,RMSD<2 & PB,PB-Filter -> gnina,69.23
SigmaDock,25,40,frag=4,56,RMSD<2 & PB,PB-Filter -> gnina,66.07
SigmaDock,25,40,frag=5,61,RMSD<2 & PB,PB-Filter -> gnina,72.13
SigmaDock,25,40,frag=6,25,RMSD<2 & PB,PB-Filter -> gnina,84.0
SigmaDock,25,40,frag=7,18,RMSD<2 & PB,PB-Filter -> gnina,50.0
SigmaDock,25,40,frag=8,15,RMSD<2 & PB,PB-Filter -> gnina,40.0
SigmaDock,25,40,frag=9,8,RMSD<2 & PB,PB-Filter -> gnina,25.0
SigmaDock,25,40,frag=10,3,RMSD<2 & PB,PB-Filter -> gnina,33.33
SigmaDock,25,40,frag=11,2,RMSD<2 & PB,PB-Filter -> gnina,50.0
SigmaDock,25,40,frag=12,1,RMSD<2 & PB,PB-Filter -> gnina,0.0
SigmaDock,25,40,frag=13,1,RMSD<2 & PB,PB-Filter -> gnina,0.0
SigmaDock,25,40,frag=14,2,RMSD<2 & PB,PB-Filter -> gnina,0.0
SigmaDock,25,40,alle,307,RMSD<2 & PB,Orakel,79.15
SigmaDock,25,40,frag=1,14,RMSD<2 & PB,Orakel,85.71
SigmaDock,25,40,frag=2,49,RMSD<2 & PB,Orakel,87.76
SigmaDock,25,40,frag=3,52,RMSD<2 & PB,Orakel,84.62
SigmaDock,25,40,frag=4,56,RMSD<2 & PB,Orakel,80.36
SigmaDock,25,40,frag=5,61,RMSD<2 & PB,Orakel,81.97
SigmaDock,25,40,frag=6,25,RMSD<2 & PB,Orakel,92.0
SigmaDock,25,40,frag=7,18,RMSD<2 & PB,Orakel,72.22
SigmaDock,25,40,frag=8,15,RMSD<2 & PB,Orakel,53.33
