arm,nfe,complex,n,basis,q0.25@1.0,q0.5@1.0,q1.0@1.0,q0.25@2.0,q0.5@2.0,q1.0@2.0
Separate,25,1R1H_BIR,40,True,True,True,True,True,True,True
Separate,25,1R55_097,40,True,True,True,True,True,True,True
Separate,25,1R58_AO5,40,False,False,False,False,False,True,True
Separate,25,1R9O_FLP,40,True,True,True,True,True,True,True
Separate,25,1S19_MC9,40,True,True,True,True,True,True,True
Separate,25,1S3V_TQD,40,False,False,False,False,True,True,True
Separate,25,1SG0_STL,40,True,True,True,True,True,True,True
Separate,25,1SJ0_E4D,40,True,True,True,True,True,True,True
Separate,25,1SQ5_PAU,40,True,True,True,True,False,False,False
Separate,25,1SQN_NDR,40,True,True,True,True,True,True,True
Separate,25,1T40_ID5,40,False,False,False,False,False,False,False
Separate,25,1T46_STI,40,True,True,True,True,True,True,True
Separate,25,1T9B_1CS,40,True,True,True,False,False,False,False
Separate,25,1TOW_CRZ,40,True,True,True,True,True,True,True
Separate,25,1TT1_KAI,40,True,True,True,True,True,True,True
Separate,25,1TZ8_DES,40,False,False,False,False,False,False,False
Separate,25,1U1C_BAU,40,True,True,True,True,True,True,True
Separate,25,1U4D_DBQ,40,True,True,True,True,True,True,True
Separate,25,1UML_FR4,40,True,True,True,True,True,True,True
Separate,25,1UNL_RRC,40,True,True,True,True,True,True,True
Separate,25,1UOU_CMU,40,True,True,True,True,True,True,True
Separate,25,1V0P_PVB,40,True,True,True,True,True,True,True
Separate,25,1V48_HA1,40,True,True,True,True,True,True,True
Separate,25,1V4S_MRK,40,True,True,True,True,True,True,True
Separate,25,1VCJ_IBA,40,False,False,False,False,False,False,False
Separate,25,1W1P_GIO,40,True,True,True,True,True,True,True
Separate,25,1W2G_THM,40,True,True,True,True,True,True,True
Separate,25,1X8X_TYR,40,True,True,True,True,True,True,True
Separate,25,1XM6_5RM,40,True,True,True,True,True,True,True
Separate,25,1XOQ_ROF,40,True,True,True,True,True,True,True
Separate,25,1XOZ_CIA,40,True,True,True,True,True,True,True
Separate,25,1Y6B_AAX,40,True,True,True,True,True,True,True
Separate,25,1YGC_905,40,False,False,False,False,True,False,False
Separate,25,1YQY_915,40,True,True,True,True,True,True,True
Separate,25,1YV3_BIT,40,True,True,True,True,True,True,True
Separate,25,1YVF_PH7,40,True,True,True,True,True,True,True
Separate,25,1YWR_LI9,40,True,True,True,True,True,True,True
Separate,25,1Z95_198,40,True,True,True,True,True,True,True
Separate,25,2BM2_PM2,40,False,False,False,False,False,False,False
Separate,25,2BR1_PFP,40,True,True,True,True,True,True,True
Separate,25,2BSM_BSM,40,True,True,True,True,True,True,True
Minimal,5,1G9V_RQ3,200,False,False,False,False,False,False,True
Minimal,5,1GKC_NFH,200,True,True,True,True,True,True,True
Minimal,5,1GM8_SOX,200,False,False,False,False,True,False,False
Minimal,5,1GPK_HUP,200,True,True,True,True,True,True,True
Minimal,5,1HNN_SKF,200,True,True,True,True,True,True,True
Minimal,5,1HP0_AD3,200,True,True,False,False,True,True,True
Minimal,5,1HQ2_PH2,200,True,True,True,True,True,True,True
Minimal,5,1HVY_D16,200,False,False,False,False,False,False,False
Minimal,5,1HWI_115,200,True,True,True,True,False,True,True
Minimal,5,1HWW_SWA,200,True,True,True,True,True,True,True
Minimal,5,1IA1_TQ3,200,True,True,True,True,True,True,True
Minimal,5,1IG3_VIB,200,True,True,True,True,True,True,True
Minimal,5,1J3J_CP6,200,True,True,True,True,True,True,True
Minimal,5,1JD0_AZM,200,True,True,True,True,True,True,True
Minimal,5,1JJE_BYS,200,True,True,True,True,False,True,True
Minimal,5,1JLA_TNK,200,True,True,True,True,True,True,True
Minimal,5,1K3U_IAD,200,True,True,True,True,True,True,True
Minimal,5,1KE5_LS1,200,True,True,True,True,True,True,True
Minimal,5,1KZK_JE2,200,True,False,False,False,True,True,True
Minimal,5,1L2S_STC,200,False,False,False,False,False,False,False
