complex,n_frag,arm,nfe,n_posen,trefferquote,n_moden,groesster_modus,groesster_richtig,entropie,abdeckung_richtig,d_zentrum_richtig,d_zentrum_falsch
1M2Z_DEX,3,Minimal,5,200,0.645,14,0.645,True,0.2195,0.645,34.294,34.431
1M2Z_DEX,3,Separate,25,40,0.825,4,0.825,True,0.171,0.825,34.266,34.342
1M2Z_DEX,3,Separate,5,200,0.82,8,0.815,True,0.1386,0.815,34.256,34.301
1MEH_MOA,4,SigmaDock,25,40,0.0,20,0.15,False,0.7438,,,1.321
1MEH_MOA,4,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,24.079
1MEH_MOA,4,Minimal,25,40,0.225,13,0.2,True,0.6177,0.2,0.505,0.7
1MEH_MOA,4,Minimal,5,200,0.16,40,0.23,False,0.5035,0.16,0.443,0.684
1MEH_MOA,4,Separate,25,40,0.1,24,0.175,False,0.7937,0.075,0.5,1.087
1MEH_MOA,4,Separate,5,200,0.04,64,0.08,False,0.7088,0.04,0.453,0.961
1MMV_3AR,6,SigmaDock,25,40,0.25,3,0.9,False,0.1069,0.9,35.606,35.706
1MMV_3AR,6,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,38.519
1MMV_3AR,6,Minimal,25,40,0.275,10,0.675,False,0.3499,0.675,35.411,35.519
1MMV_3AR,6,Minimal,5,200,0.37,14,0.86,False,0.1344,0.86,35.433,35.473
1MMV_3AR,6,Separate,25,40,0.375,7,0.4,True,0.3829,0.4,35.549,35.522
1MMV_3AR,6,Separate,5,200,0.36,8,0.785,False,0.1408,0.785,35.493,35.49
1MZC_BNE,5,SigmaDock,25,40,0.0,32,0.075,False,0.9213,,,1.013
1MZC_BNE,5,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,11.855
1MZC_BNE,5,Minimal,25,40,0.0,39,0.05,False,0.9906,,,1.044
1MZC_BNE,5,Minimal,5,200,0.0,168,0.015,False,0.9576,,,1.025
1MZC_BNE,5,Separate,25,40,0.0,36,0.05,False,0.9624,,,1.37
1MZC_BNE,5,Separate,5,200,0.005,169,0.015,False,0.957,0.005,0.582,1.172
1N1M_A3M,3,SigmaDock,25,40,0.8,2,0.8,True,0.1357,0.8,42.198,42.732
1N1M_A3M,3,SigmaDock,5,40,0.25,33,0.125,True,0.9137,0.125,42.434,46.188
1N1M_A3M,3,Minimal,25,40,0.975,1,1.0,True,-0.0,1.0,42.328,42.309
1N1M_A3M,3,Minimal,5,200,0.965,2,0.985,True,0.0147,0.985,42.349,42.267
1N1M_A3M,3,Separate,25,40,0.75,3,0.775,True,0.1834,0.775,42.34,42.443
1N1M_A3M,3,Separate,5,200,0.78,6,0.815,True,0.1134,0.815,42.331,42.495
1N2J_PAF,4,SigmaDock,25,40,0.7,4,0.9,True,0.1163,0.9,0.69,0.863
1N2J_PAF,4,SigmaDock,5,40,0.0,39,0.05,False,0.9906,,,17.516
1N2J_PAF,4,Minimal,25,40,0.575,7,0.55,True,0.3876,0.55,0.581,0.832
1N2J_PAF,4,Minimal,5,200,0.745,13,0.74,True,0.2113,0.74,0.603,0.79
1N2J_PAF,4,Separate,25,40,0.775,4,0.7,True,0.2378,0.7,0.532,0.662
1N2J_PAF,4,Separate,5,200,0.815,8,0.73,True,0.1826,0.73,0.501,0.524
1N2V_BDI,2,SigmaDock,25,40,1.0,2,0.55,True,0.1865,0.55,0.258,
1N2V_BDI,2,SigmaDock,5,40,0.3,30,0.15,True,0.8543,0.15,0.62,31.977
1N2V_BDI,2,Minimal,25,40,1.0,2,0.625,True,0.1793,0.625,0.329,
1N2V_BDI,2,Minimal,5,200,0.975,6,0.49,True,0.1594,0.49,0.315,0.457
1N2V_BDI,2,Separate,25,40,1.0,2,0.575,True,0.1848,0.575,0.259,
1N2V_BDI,2,Separate,5,200,0.98,7,0.52,True,0.1568,0.52,0.274,0.393
1N46_PFA,4,SigmaDock,25,40,1.0,1,1.0,True,-0.0,1.0,43.624,
1N46_PFA,4,SigmaDock,5,40,0.25,32,0.175,True,0.8853,0.175,43.635,43.506
1N46_PFA,4,Minimal,25,40,0.875,2,0.5,True,0.1879,0.5,43.584,43.658
1N46_PFA,4,Minimal,5,200,0.915,6,0.5,True,0.1632,0.5,43.537,43.561
1N46_PFA,4,Separate,25,40,0.9,2,0.525,True,0.1876,0.525,43.572,43.59
1N46_PFA,4,Separate,5,200,0.915,3,0.52,True,0.1398,0.52,43.515,43.581
1NAV_IH5,4,SigmaDock,25,40,0.975,2,0.625,True,0.1793,0.625,0.299,0.682
1NAV_IH5,4,SigmaDock,5,40,0.1,38,0.075,True,0.9777,0.075,0.594,14.504
1NAV_IH5,4,Minimal,25,40,0.9,6,0.5,True,0.2933,0.5,0.278,0.699
1NAV_IH5,4,Minimal,5,200,0.95,8,0.56,True,0.1641,0.56,0.279,0.586
1NAV_IH5,4,Separate,25,40,0.975,2,0.5,True,0.1879,0.5,0.291,0.233
1NAV_IH5,4,Separate,5,200,0.985,4,0.535,True,0.1583,0.535,0.249,0.514
1OF1_SCT,3,SigmaDock,25,40,0.925,2,0.925,True,0.0722,0.925,31.274,31.836
1OF1_SCT,3,SigmaDock,5,40,0.1,37,0.075,True,0.9683,0.075,31.222,38.979
1OF1_SCT,3,Minimal,25,40,0.75,4,0.7,True,0.2478,0.7,31.258,31.641
1OF1_SCT,3,Minimal,5,200,0.69,8,0.81,True,0.143,0.81,31.318,31.471
1OF1_SCT,3,Separate,25,40,0.875,4,0.875,True,0.1379,0.875,31.34,31.681
1OF1_SCT,3,Separate,5,200,0.83,6,0.895,True,0.0845,0.895,31.413,31.624
1OF6_DTY,3,SigmaDock,25,40,1.0,1,1.0,True,-0.0,1.0,33.258,
1OF6_DTY,3,SigmaDock,5,40,0.3,31,0.15,True,0.8726,0.15,33.437,42.679
1OF6_DTY,3,Minimal,25,40,1.0,1,1.0,True,-0.0,1.0,33.335,
1OF6_DTY,3,Minimal,5,200,0.995,2,0.995,True,0.0059,0.995,33.348,33.16
1OF6_DTY,3,Separate,25,40,1.0,1,1.0,True,-0.0,1.0,33.235,
1OF6_DTY,3,Separate,5,200,0.995,2,0.995,True,0.0059,0.995,33.292,33.094
