satz,arm,nfe,K,ziel,regel,mean,count,prozent
AX85,SigmaFlow-Separate,5,64,both,gnina,0.5282070588235294,85,52.82070588235294
AX85,SigmaFlow-Separate,5,65,both,gnina,0.5280329411764705,85,52.80329411764705
AX85,SigmaFlow-Separate,5,66,both,gnina,0.5279517647058825,85,52.795176470588245
AX85,SigmaFlow-Separate,5,67,both,gnina,0.5277682352941174,85,52.77682352941174
AX85,SigmaFlow-Separate,5,68,both,gnina,0.5277094117647058,85,52.77094117647058
AX85,SigmaFlow-Separate,5,69,both,gnina,0.5276811764705882,85,52.76811764705882
AX85,SigmaFlow-Separate,5,70,both,gnina,0.5275764705882353,85,52.75764705882353
AX85,SigmaFlow-Separate,5,71,both,gnina,0.5275188235294117,85,52.75188235294117
AX85,SigmaFlow-Separate,5,72,both,gnina,0.5272976470588235,85,52.72976470588235
AX85,SigmaFlow-Separate,5,73,both,gnina,0.5271258823529411,85,52.71258823529411
AX85,SigmaFlow-Separate,5,74,both,gnina,0.5269741176470588,85,52.69741176470588
AX85,SigmaFlow-Separate,5,75,both,gnina,0.5268647058823531,85,52.68647058823531
AX85,SigmaFlow-Separate,5,76,both,gnina,0.5266776470588233,85,52.66776470588233
AX85,SigmaFlow-Separate,5,77,both,gnina,0.5265952941176472,85,52.659529411764716
AX85,SigmaFlow-Separate,5,78,both,gnina,0.5265541176470587,85,52.655411764705875
AX85,SigmaFlow-Separate,5,79,both,gnina,0.5263447058823532,85,52.63447058823532
AX85,SigmaFlow-Separate,5,80,both,gnina,0.5262058823529414,85,52.62058823529414
AX85,SigmaFlow-Separate,5,81,both,gnina,0.5260788235294117,85,52.60788235294117
AX85,SigmaFlow-Separate,5,82,both,gnina,0.5260470588235298,85,52.604705882352974
AX85,SigmaFlow-Separate,5,83,both,gnina,0.5258200000000001,85,52.58200000000001
AX85,SigmaFlow-Separate,5,84,both,gnina,0.5256541176470588,85,52.565411764705885
AX85,SigmaFlow-Separate,5,85,both,gnina,0.5255435294117649,85,52.55435294117648
AX85,SigmaFlow-Separate,5,86,both,gnina,0.5254729411764703,85,52.54729411764703
AX85,SigmaFlow-Separate,5,87,both,gnina,0.5253329411764706,85,52.53329411764705
