complex,n_frag,arm,nfe,n_posen,trefferquote,n_moden,groesster_modus,groesster_richtig,entropie,abdeckung_richtig,d_zentrum_richtig,d_zentrum_falsch
7T3E_SLB,6,SigmaDock,5,40,0.0,39,0.05,False,0.9906,,,7.532
7T3E_SLB,6,Minimal,25,40,0.775,3,0.95,True,0.0632,0.95,0.325,0.582
7T3E_SLB,6,Minimal,5,201,0.7661691542288557,6,0.9303,True,0.0647,0.9303,0.344,0.597
7T3E_SLB,6,Separate,25,40,0.9,2,0.975,True,0.0317,0.975,0.405,0.812
7T3E_SLB,6,Separate,5,201,0.8407960199004975,5,0.9652,True,0.0374,0.9652,0.37,0.646
7TXK_LW8,3,SigmaDock,25,40,0.7,3,0.7,True,0.1889,0.7,0.225,0.623
7TXK_LW8,3,SigmaDock,5,40,0.1,30,0.15,True,0.8632,0.15,0.34,13.503
7TXK_LW8,3,Minimal,25,40,0.9,1,1.0,True,-0.0,1.0,0.293,1.285
7TXK_LW8,3,Minimal,5,200,0.925,1,1.0,True,-0.0,1.0,0.252,1.03
7TXK_LW8,3,Separate,25,40,0.9,3,0.9,True,0.1034,0.9,0.28,0.989
7TXK_LW8,3,Separate,5,200,0.89,3,0.92,True,0.0561,0.92,0.23,0.708
7TYP_KUR,7,SigmaDock,25,40,0.075,5,0.55,False,0.3476,0.075,0.442,0.849
7TYP_KUR,7,SigmaDock,5,40,0.0,39,0.05,False,0.9906,,,8.793
7TYP_KUR,7,Minimal,25,40,0.125,5,0.3,False,0.3928,0.275,0.287,0.595
7TYP_KUR,7,Minimal,5,200,0.045,13,0.325,False,0.3191,0.17,0.283,0.557
7TYP_KUR,7,Separate,25,40,0.2,9,0.3,True,0.4663,0.3,0.346,0.606
7TYP_KUR,7,Separate,5,200,0.235,16,0.365,True,0.3323,0.365,0.281,0.513
7UJ4_OQ4,9,SigmaDock,25,40,0.3,5,0.5,True,0.34,0.5,0.452,0.9
7UJ4_OQ4,9,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,10.725
7UJ4_OQ4,9,Minimal,25,40,0.125,12,0.45,False,0.5012,0.45,0.429,1.146
7UJ4_OQ4,9,Minimal,5,200,0.12,30,0.375,False,0.386,0.375,0.415,1.0
7UJ4_OQ4,9,Separate,25,40,0.025,22,0.225,False,0.7591,0.225,0.593,1.985
7UJ4_OQ4,9,Separate,5,200,0.02,61,0.225,False,0.6469,0.035,0.469,1.639
7UJF_R3V,5,SigmaDock,25,41,1.0,1,1.0,True,-0.0,1.0,0.135,
7UJF_R3V,5,SigmaDock,5,41,0.07317073170731707,38,0.0976,True,0.9636,0.0976,0.464,12.162
7UJF_R3V,5,Minimal,25,41,0.975609756097561,2,0.9756,True,0.0309,0.9756,0.246,0.309
7UJF_R3V,5,Minimal,5,201,0.9253731343283582,2,0.9701,True,0.0253,0.9701,0.232,0.507
7UJF_R3V,5,Separate,25,40,0.925,1,1.0,True,-0.0,1.0,0.26,0.462
7UJF_R3V,5,Separate,5,201,0.9402985074626866,1,1.0,True,-0.0,1.0,0.208,0.466
7VC5_9SF,3,SigmaDock,25,40,0.95,1,1.0,True,-0.0,1.0,0.246,0.663
7VC5_9SF,3,SigmaDock,5,40,0.175,25,0.275,True,0.7484,0.275,0.429,14.3
7VC5_9SF,3,Minimal,25,40,0.625,1,1.0,True,-0.0,1.0,0.274,0.464
7VC5_9SF,3,Minimal,5,200,0.71,2,0.995,True,0.0059,0.995,0.284,0.354
7VC5_9SF,3,Separate,25,40,0.625,1,1.0,True,-0.0,1.0,0.324,0.356
7VC5_9SF,3,Separate,5,200,0.715,1,1.0,True,-0.0,1.0,0.238,0.291
7W05_GMP,3,SigmaDock,25,40,0.575,1,1.0,True,-0.0,1.0,0.488,0.473
7W05_GMP,3,SigmaDock,5,40,0.125,32,0.175,True,0.8889,0.175,0.682,14.699
7W05_GMP,3,Minimal,25,40,0.45,2,0.725,True,0.1594,0.725,0.533,0.568
7W05_GMP,3,Minimal,5,203,0.3251231527093596,2,0.9951,False,0.0059,0.9951,0.475,0.509
7W05_GMP,3,Separate,25,40,0.175,5,0.525,False,0.2661,0.525,0.552,0.748
7W05_GMP,3,Separate,5,200,0.2,8,0.555,False,0.1719,0.555,0.39,0.635
7WL4_JFU,5,SigmaDock,25,40,0.15,5,0.55,False,0.3232,0.25,0.589,0.917
7WL4_JFU,5,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,13.773
7WL4_JFU,5,Minimal,25,40,0.475,5,0.475,True,0.335,0.475,0.404,1.028
7WL4_JFU,5,Minimal,5,200,0.48,10,0.58,True,0.2323,0.58,0.459,0.996
7WL4_JFU,5,Separate,25,40,0.5,4,0.575,True,0.2716,0.575,0.48,0.984
7WL4_JFU,5,Separate,5,200,0.38,10,0.445,True,0.247,0.445,0.481,0.983
8A1H_DLZ,5,SigmaDock,25,40,0.1,3,0.575,False,0.2477,0.1,0.453,0.878
8A1H_DLZ,5,SigmaDock,5,40,0.0,36,0.1,False,0.953,,,10.661
8A1H_DLZ,5,Minimal,25,40,0.75,2,0.85,True,0.1146,0.85,0.319,0.614
8A1H_DLZ,5,Minimal,5,200,0.715,4,0.81,True,0.1116,0.81,0.273,0.499
8A1H_DLZ,5,Separate,25,40,0.25,6,0.525,False,0.3329,0.3,0.414,0.678
