complex,n_frag,arm,nfe,n_posen,trefferquote,n_moden,groesster_modus,groesster_richtig,entropie,abdeckung_richtig,d_zentrum_richtig,d_zentrum_falsch
7D5C_GV6,6,Minimal,5,201,0.6069651741293532,23,0.4677,True,0.3029,0.4677,0.383,0.55
7D5C_GV6,6,Separate,25,40,0.525,11,0.45,True,0.4806,0.45,0.339,0.675
7D5C_GV6,6,Separate,5,201,0.5223880597014925,26,0.4279,True,0.3758,0.4279,0.364,0.527
7DQL_4CL,1,SigmaDock,25,40,0.375,3,0.575,False,0.2266,0.375,0.495,0.618
7DQL_4CL,1,SigmaDock,5,40,0.15,22,0.325,False,0.6918,0.15,0.942,34.323
7DQL_4CL,1,Minimal,25,40,0.275,5,0.475,False,0.3365,0.3,0.64,0.755
7DQL_4CL,1,Minimal,5,200,0.29,8,0.48,False,0.2451,0.29,0.699,0.729
7DQL_4CL,1,Separate,25,41,0.3170731707317073,4,0.4878,False,0.2932,0.3415,0.534,0.644
7DQL_4CL,1,Separate,5,201,0.24378109452736318,6,0.5622,False,0.2314,0.2289,0.591,0.646
7ES1_UDP,4,SigmaDock,25,40,0.875,4,0.85,True,0.1499,0.85,0.488,0.76
7ES1_UDP,4,SigmaDock,5,40,0.025,38,0.075,False,0.9777,0.025,1.022,11.419
7ES1_UDP,4,Minimal,25,40,0.65,6,0.7,True,0.276,0.7,0.496,0.988
7ES1_UDP,4,Minimal,5,202,0.698019801980198,17,0.8168,True,0.1742,0.8168,0.622,0.876
7ES1_UDP,4,Separate,25,40,0.825,5,0.875,True,0.1473,0.875,0.674,0.876
7ES1_UDP,4,Separate,5,201,0.835820895522388,12,0.8756,True,0.1212,0.8756,0.645,0.887
7F8T_FAD,9,SigmaDock,25,40,0.0,29,0.075,False,0.8931,,,1.161
7F8T_FAD,9,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,9.437
7F8T_FAD,9,Minimal,25,40,0.0,40,0.025,False,1.0,,,1.277
7F8T_FAD,9,Minimal,5,200,0.01,168,0.02,False,0.9539,0.015,0.27,1.134
7F8T_FAD,9,Separate,25,40,0.0,37,0.05,False,0.9718,,,1.423
7F8T_FAD,9,Separate,5,200,0.0,172,0.02,False,0.9601,,,1.281
7JG0_GAR,3,SigmaDock,25,40,0.875,3,0.925,True,0.0852,0.925,0.413,1.154
7JG0_GAR,3,SigmaDock,5,40,0.025,40,0.025,False,1.0,0.025,0.832,15.331
7JG0_GAR,3,Minimal,25,40,0.625,7,0.525,True,0.3688,0.525,0.504,1.154
7JG0_GAR,3,Minimal,5,200,0.69,22,0.51,True,0.3235,0.51,0.419,1.005
7JG0_GAR,3,Separate,25,40,0.775,7,0.775,True,0.2468,0.775,0.385,0.812
7JG0_GAR,3,Separate,5,202,0.7722772277227723,14,0.7426,True,0.2071,0.7426,0.342,0.955
7JMV_4NC,2,SigmaDock,25,40,0.55,4,0.375,True,0.3469,0.375,0.231,0.347
7JMV_4NC,2,SigmaDock,5,40,0.1,27,0.1,False,0.8426,0.1,0.476,14.049
7JMV_4NC,2,Minimal,25,40,0.55,6,0.5,True,0.3507,0.5,0.339,0.397
7JMV_4NC,2,Minimal,5,202,0.48514851485148514,10,0.3713,True,0.2935,0.3713,0.273,0.431
7JMV_4NC,2,Separate,25,40,0.8,3,0.675,True,0.1948,0.675,0.207,0.288
7JMV_4NC,2,Separate,5,201,0.7661691542288557,8,0.6368,True,0.172,0.6368,0.204,0.456
7JY3_VUD,4,SigmaDock,25,40,0.225,14,0.2,True,0.6053,0.2,1.197,1.431
7JY3_VUD,4,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,19.1
7JY3_VUD,4,Minimal,25,40,0.025,21,0.25,False,0.7335,0.025,0.514,0.854
7JY3_VUD,4,Minimal,5,202,0.06930693069306931,78,0.2426,False,0.6701,0.0743,0.713,0.855
7JY3_VUD,4,Separate,25,40,0.125,26,0.175,False,0.816,0.1,0.814,1.112
7JY3_VUD,4,Separate,5,202,0.09405940594059406,57,0.1634,False,0.6425,0.0743,0.809,1.002
7KB1_WBJ,4,SigmaDock,25,40,0.7,3,0.7,True,0.1889,0.7,0.322,0.233
7KB1_WBJ,4,SigmaDock,5,40,0.075,37,0.05,False,0.9718,0.05,0.366,12.205
7KB1_WBJ,4,Minimal,25,40,0.925,4,0.875,True,0.1343,0.875,0.352,0.432
7KB1_WBJ,4,Minimal,5,201,0.8855721393034826,9,0.7861,True,0.1427,0.7861,0.309,0.427
7KB1_WBJ,4,Separate,25,40,0.9,4,0.825,True,0.1635,0.825,0.373,0.287
7KB1_WBJ,4,Separate,5,200,0.845,9,0.785,True,0.1596,0.785,0.313,0.276
7L00_XCJ,5,SigmaDock,25,42,0.42857142857142855,3,0.4286,True,0.2881,0.4286,0.527,1.317
7L00_XCJ,5,SigmaDock,5,42,0.0,42,0.0238,False,1.0,,,13.116
7L00_XCJ,5,Minimal,25,42,0.35714285714285715,15,0.2857,True,0.5969,0.2857,0.696,1.096
7L00_XCJ,5,Minimal,5,202,0.18316831683168316,33,0.198,False,0.5004,0.1238,0.627,1.11
7L00_XCJ,5,Separate,25,40,0.65,8,0.5,True,0.3932,0.5,0.462,1.009
7L00_XCJ,5,Separate,5,200,0.595,26,0.58,True,0.3261,0.58,0.522,0.906
7LCU_XTA,6,SigmaDock,25,41,0.2926829268292683,6,0.3902,False,0.3869,0.1707,0.652,0.815
7LCU_XTA,6,SigmaDock,5,41,0.0,41,0.0244,False,1.0,,,10.854
7LCU_XTA,6,Minimal,25,41,0.2926829268292683,14,0.2195,True,0.6362,0.2195,0.745,0.969
7LCU_XTA,6,Minimal,5,202,0.3564356435643564,43,0.198,True,0.5247,0.198,0.758,1.01
7LCU_XTA,6,Separate,25,40,0.625,15,0.35,True,0.5654,0.35,0.624,1.07
7LCU_XTA,6,Separate,5,200,0.7,26,0.365,True,0.3791,0.365,0.771,1.293
